时间,车型,车名,厂商指导价格范围,月降价幅度,全国月关注,评分,全国月销量,质保,环保标准,油耗,燃油标号
2024年4月,紧凑型SUV,影酷,11.98-16.98万,2.10万,,,0,质保：三年或10万公里,环保标准：国VI,0,6
2024年4月,紧凑型SUV,哈弗H6新能源,15.98-17.38万,2.00万,,,0,质保：六年或15万公里,环保标准：国VI,0,2
2024年4月,紧凑型SUV,哈弗H6,9.89-15.70万,2.00万,2119201,,0,质保：五年或10万公里，三年或10万公里，三年或6万公里，5年或10万公里,环保标准：国IV(国V)，国VI，国V，国IV，国IV/国V，国IV+OBD,6,3
2024年4月,紧凑型SUV,劲炫ASX,9.98-13.98万,2.00万,510930,,0,质保：五年或10万公里,环保标准：国V，国IV(国V)，国VI,4,2
2024年4月,紧凑型SUV,逍客,12.59-17.49万,2.00万,619457,,0,质保：两年或6万公里，三年或10万公里,环保标准：欧IV+OBD，国VI，国V，国IV(国V)，欧IV,5,2
2024年4月,紧凑型SUV,长安欧尚X7 PLUS,7.99-13.39万,1.90万,,4.74分,0,质保：三年或10万公里,环保标准：国VI,4,2
2024年4月,紧凑型SUV,荣威RX5新能源,14.79-16.28万,1.90万,96155,4.77分,0,质保：三年或10万公里，五年或10万公里,环保标准：国V，国VI,2,2
2024年4月,紧凑型SUV,长安CS75 PLUS,11.79-15.49万,1.90万,,4.7分,0,质保：三年或10万公里,环保标准：国VI,4,2
2024年4月,紧凑型SUV,星途追风PHEV,13.98-16.28万,1.90万,,4.82分,0,质保：三年或10万公里,环保标准：国VI,2,2
2024年4月,紧凑型SUV,思皓X6,7.99-11.89万,1.90万,,,0,质保：三年或10万公里,环保标准：国VI,0,2
2024年4月,紧凑型SUV,北京BJ30,10.58-12.58万,1.90万,,,0,质保：三年或10万公里,环保标准：国VI,5,2
2024年4月,中型SUV,宝马X3 M,90.99万,25.30万,,,0,质保：三年或10万公里,环保标准：国VI,6,8
2024年4月,中型SUV,奔驰EQC,49.19-57.19万,23.41万,,4.37分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中型SUV,宝马X4 M,93.99万,23.40万,,,0,质保：三年或10万公里,环保标准：国VI,6,8
2024年4月,中型SUV,奥迪SQ5 Sportback,63.88万,19.03万,,,0,质保：三年或10万公里,环保标准：国VI,5,8
2024年4月,中型SUV,宝马X4,46.69-66.69万,18.50万,110780,4.34分,0,质保：三年或10万公里,环保标准：欧V，国VI,5,8
2024年4月,中型SUV,发现运动版,35.98-44.66万,17.26万,,4.64分,0,质保：三年或10万公里,环保标准：国VI,5,8
2024年4月,中型SUV,揽胜极光新能源,41.58-42.98万,16.38万,,,0,质保：三年或10万公里,环保标准：国VI,2,8
2024年4月,中型SUV,揽胜极光,38.98-47.58万,16.12万,360600,4.42分,0,质保：三年或10万公里,环保标准：国V，国VI，欧V,5,8
2024年4月,中型SUV,揽胜星脉,56.80-78.80万,16.11万,127931,4.47分,0,质保：三年或10万公里,环保标准：国VI，国V，国V(国VI),5,8
2024年4月,中型SUV,奥迪Q5L Sportback,43.08-49.99万,15.96万,,,0,质保：三年或10万公里,环保标准：国VI,5,8
2024年4月,中型SUV,宝马X3(进口),63.69万,15.12万,344514,,0,质保：两年不限公里，三年或10万公里,环保标准：欧IV，欧VI，国VI，欧III,5,8
2024年4月,中型SUV,捷豹F-PACE,47.20-66.80万,14.90万,266380,4.4分,0,质保：三年或10万公里,环保标准：国V，国VI,5,8
2024年4月,中型SUV,奔驰GLC AMG,66.67-118.08万,14.25万,3961,4.36分,0,质保：三年不限公里,环保标准：欧VI，国VI,5,8
2024年4月,中型SUV,发现运动版新能源,40.98万,13.88万,,,0,质保：三年或10万公里,环保标准：国VI,2,8
2024年4月,中型SUV,沃尔沃XC60新能源,52.39-60.39万,13.40万,,,0,质保：三年不限公里,环保标准：国VI，国V,3,8
2024年4月,中型SUV,宝马iX3,40.50-44.50万,13.40万,,4.78分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中型SUV,奥迪Q5L,39.68-48.90万,13.10万,,4.44分,0,质保：三年或10万公里,环保标准：国VI，国V,5,8
2024年4月,中型SUV,奔驰GLC轿跑 AMG,68.68-118.08万,12.62万,,,0,质保：三年不限公里,环保标准：国VI,6,8
2024年4月,中型SUV,宝马X3,39.96-48.69万,11.90万,,4.5分,0,质保：三年或10万公里,环保标准：国VI，国V,5,8
2024年4月,中型SUV,奥迪SQ5,59.88万,11.88万,34234,,0,质保：三年或10万公里,环保标准：国IV(国V)，国VI,5,8
2024年4月,中型SUV,英菲尼迪QX50,33.38-46.98万,10.00万,98175,4.72分,0,质保：四年或10万公里,环保标准：国VI，欧V,5,8
2024年4月,中型SUV,Grecale格雷嘉,65.08-101.88万,9.90万,,,0,质保：暂无数据,环保标准：国VI,0,8
2024年4月,中型SUV,凯迪拉克XT5,35.27-45.27万,9.87万,376626,4.66分,0,质保：三年不限公里,环保标准：国V，国VI,5,8
2024年4月,中型SUV,奔驰GLC,42.78-53.13万,9.56万,466456,4.34分,0,质保：三年不限公里,环保标准：国VI，欧V,5,8
2024年4月,中型SUV,沃尔沃XC60,37.79-47.49万,9.40万,220175,4.5分,0,质保：三年不限公里,环保标准：国VI，国V,5,8
2024年4月,中型SUV,奔驰GLC轿跑,47.20-57.20万,9.08万,135722,4.15分,0,质保：三年不限公里,环保标准：国VI，欧V,5,11
2024年4月,中型SUV,传祺GS8,18.68-26.98万,8.98万,692632,4.68分,0,质保：三年或10万公里，五年或15万公里,环保标准：国VI，国V,5,10
2024年4月,中型SUV,Macan,57.30-85.80万,8.43万,364458,4.29分,0,质保：三年或10万公里,环保标准：欧V，国VI,6,8
2024年4月,中型SUV,楼兰,23.88-28.38万,8.00万,260958,4.68分,0,质保：三年或10万公里，五年或20万公里，四年或10万公里,环保标准：国VI，国V，欧IV+OBD,5,6
2024年4月,中型SUV,英菲尼迪QX55,38.98-47.53万,7.90万,,,0,质保：四年或10万公里,环保标准：国VI,0,8
2024年4月,中型SUV,探岳GTE插电混动,24.29万,7.69万,,4.66分,0,质保：三年或10万公里,环保标准：国VI,2,8
2024年4月,中型SUV,奔腾E01,19.68-22.88万,7.60万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中型SUV,一汽丰田bZ4X,19.98-28.48万,7.20万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中型SUV,昂科威,20.99-30.99万,7.00万,799124,4.69分,0,质保：三年或10万公里,环保标准：国V，国VI,5,10
2024年4月,中型SUV,途观L新能源,26.11-27.20万,7.00万,,4.7分,0,质保：待查,环保标准：国VI，国V,2,8
2024年4月,中型SUV,途观X,24.08-27.08万,6.90万,,4.7分,0,质保：三年或10万公里,环保标准：国VI,5,8
2024年4月,中型SUV,牧马人,45.99-56.99万,6.90万,343492,4.65分,0,质保：三年或8万公里，3年或8万公里,环保标准：国VI，国IV，国V，国IV(国V)，欧IV，欧III,6,9
2024年4月,中型SUV,探岳X,23.29-26.29万,6.90万,,4.53分,0,质保：三年或10万公里,环保标准：国VI,5,8
2024年4月,中型SUV,途观L,18.68-26.08万,6.70万,1028423,4.59分,0,质保：三年或10万公里,环保标准：国V，国VI,5,8
2024年4月,中型SUV,探界者,18.49-23.99万,6.50万,1134527,4.52分,0,质保：三年或10万公里,环保标准：国V，国VI,5,6
2024年4月,中型SUV,途达,16.98-24.83万,6.00万,,4.68分,0,质保：三年或10万公里,环保标准：国V，国VI,5,2
2024年4月,中型SUV,探岳,20.49-25.99万,6.00万,,4.55分,0,质保：三年或10万公里,环保标准：国VI，国V,5,8
2024年4月,中型SUV,广汽丰田bZ4X,19.98-28.78万,5.90万,,4.69分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中型SUV,雷克萨斯NX,29.80-54.88万,5.90万,166598,4.35分,0,质保：四年或10万公里，六年或15万公里,环保标准：国V，国VI,5,6
2024年4月,中型SUV,星途凌云,13.99-18.99万,5.89万,,4.76分,0,质保：三年或10万公里,环保标准：国VI,5,10
2024年4月,中型SUV,本田UR-V,24.68-32.98万,5.40万,638467,4.26分,0,质保：三年或10万公里,环保标准：国VI，国V,5,2
2024年4月,中型SUV,冠道,22.48-33.28万,5.20万,781728,4.52分,0,质保：三年或10万公里,环保标准：国VI，国V,5,2
2024年4月,中型SUV,瑞虎8 PLUS鲲鹏e+,15.58-17.18万,5.05万,,,0,质保：六年或15万公里,环保标准：国VI,2,2
2024年4月,中型SUV,柯迪亚克,19.19-24.39万,4.90万,,4.57分,0,质保：三年或10万公里,环保标准：国VI，国V,5,8
2024年4月,中型SUV,雷克萨斯NX新能源,42.88-50.98万,4.90万,,,0,质保：六年或15万公里,环保标准：国VI,0,8
2024年4月,中型SUV,胜达,20.28-27.28万,4.50万,272896,4.67分,0,质保：五年或10万公里，可选:三年或15万公里/五年或10万公里/七年或7万公里,环保标准：国IV(国V)，国VI，国V,5,2
2024年4月,中型SUV,威飒,21.68-30.38万,4.50万,,4.79分,0,质保：三年或10万公里,环保标准：国VI,4,2
2024年4月,中型SUV,凌放HARRIER,21.18-29.88万,4.40万,,4.81分,0,质保：三年或10万公里，四年或10万公里,环保标准：国VI,4,2
2024年4月,中型SUV,柯迪亚克GT,20.89-24.39万,4.40万,,4.64分,0,质保：三年或10万公里,环保标准：国V，国VI,4,8
2024年4月,中型SUV,启辰T90,11.88-15.48万,4.40万,438356,4.65分,0,质保：三年或10万公里,环保标准：国V，国VI,5,2
2024年4月,中型SUV,牧马人新能源,51.49-63.99万,4.40万,,4.73分,0,质保：三年或8万公里,环保标准：国VI,3,8
2024年4月,中型SUV,上汽大通MAXUS D60,11.58-15.98万,4.22万,,4.72分,0,质保：三年或6万公里,环保标准：国VI,5,2
2024年4月,中型SUV,福特电马,23.98-36.99万,4.00万,,4.79分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中型SUV,EVOS,19.98-25.98万,4.00万,,4.76分,0,质保：三年或10万公里,环保标准：国VI,5,2
2024年4月,中型SUV,瑞虎8,9.58-16.29万,3.58万,,4.67分,0,质保：三年或10万公里,环保标准：国VI，国V,5,2
2024年4月,中型SUV,极狐 阿尔法T(ARCFOX αT),18.58-33.13万,3.40万,,4.79分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中型SUV,红旗HS5,18.38-24.98万,3.40万,,4.66分,0,质保：四年或10万公里,环保标准：国VI,5,8
2024年4月,中型SUV,傲虎,29.98-33.08万,3.40万,42230,4.55分,0,质保：三年或10万公里，两年或6万公里，2年或6万公里,环保标准：欧IV，欧V，国VI,6,10
2024年4月,中型SUV,蓝电E5,9.98-15.39万,3.40万,,,0,质保：六年或15万公里,环保标准：国VI,0,2
2024年4月,中型SUV,汉兰达,26.88-34.88万,3.30万,990715,4.7分,0,质保：三年或10万公里,环保标准：国IV(国V)，国VI，国V，国IV,6,6
2024年4月,中型SUV,皇冠陆放,27.78-35.28万,3.30万,,4.81分,0,质保：三年或10万公里，四年或10万公里,环保标准：国VI,4,10
2024年4月,中型SUV,风光580,7.99-12.99万,2.90万,598869,4.43分,0,质保：七年或15万公里,环保标准：国V，国VI,5,2
2024年4月,中型SUV,风光ix5,9.98-16.59万,2.90万,,4.53分,0,质保：七年或15万公里,环保标准：国VI，国V,5,2
2024年4月,中型SUV,瑞虎8 PRO新能源,13.79-17.99万,2.40万,,,0,质保：三年或10万公里,环保标准：国VI,0,2
2024年4月,中型SUV,斯威大虎EDi,9.99-13.99万,2.40万,,4.81分,0,质保：三年或6万公里,环保标准：国VI,0,2
2024年4月,中型SUV,mu-X牧游侠,16.68-27.98万,2.28万,75150,4.56分,0,质保：三年或10万公里，三年或6万公里,环保标准：国V，国IV，国VI,5,0
2024年4月,中型SUV,思皓X7,13.48-17.98万,2.06万,,,0,质保：三年或10万公里,环保标准：国VI,5,2
2024年4月,中型SUV,撼路者,27.58-37.48万,2.00万,144522,4.7分,0,质保：三年或10万公里,环保标准：国VI，国V，国IV,6,3
2024年4月,中型SUV,SWM斯威G05,8.69-12.98万,1.90万,,4.78分,0,质保：三年或6万公里,环保标准：国VI,5,2
2024年4月,中型SUV,SWM斯威X7,6.39-10.79万,1.90万,137422,4.75分,0,质保：八年或16万公里,环保标准：国V，国VI,5,2
2024年4月,中型SUV,思皓X8,8.88-17.28万,1.90万,,4.67分,0,质保：三年或10万公里,环保标准：国VI,5,2
2024年4月,中型SUV,荣威RX9,17.58-24.38万,1.61万,,,0,质保：暂无数据,环保标准：国VI,0,2
2024年4月,中型SUV,捷途X70M,6.49-15.99万,1.43万,,4.63分,0,质保：十年或20万公里,环保标准：国VI,5,2
2024年4月,中型SUV,瑞虎8 PLUS,11.79-16.29万,1.43万,,4.61分,0,质保：三年或10万公里,环保标准：国VI,5,2
2024年4月,中型SUV,捷途X70,7.99-17.09万,1.43万,,4.59分,0,质保：十年或20万公里，不限年限/不限里程,环保标准：国VI，国V,5,2
2024年4月,中型SUV,长安UNI-K 智电iDD,18.79-21.59万,1.43万,,4.81分,0,质保：三年或12万公里,环保标准：国VI,1,2
2024年4月,中型SUV,捷达VS7,10.59-14.49万,1.43万,,4.72分,0,质保：三年或10万公里,环保标准：国VI,4,8
2024年4月,中型SUV,领睿,12.68-16.98万,1.43万,,4.79分,0,质保：三年或10万公里,环保标准：国VI,0,2
2024年4月,中型SUV,瑞虎8 PRO,12.69-17.49万,1.43万,,,0,质保：三年或10万公里,环保标准：国VI,0,2
2024年4月,中型SUV,捷途X70S,8.79-15.99万,1.43万,,4.74分,0,质保：十年或20万公里,环保标准：国VI，国V,5,2
2024年4月,中型SUV,Stelvio斯坦维,37.70-49.58万,1.43万,172922,4.34分,0,质保：三年不限公里,环保标准：国VI，国V,5,10
2024年4月,中型SUV,长安UNI-K,14.59-18.49万,1.43万,,4.64分,0,质保：三年或10万公里,环保标准：国VI,5,2
2024年4月,中型SUV,航海家,32.88-46.88万,1.33万,,4.67分,0,质保：五年或14万公里，七年或18万公里,环保标准：国VI,5,6
2024年4月,中型SUV,SWM斯威大虎,5.99-7.89万,1.33万,,,0,质保：暂无数据,环保标准：国VI,0,2
2024年4月,中型SUV,护卫舰07,20.28-31.98万,1.14万,,,0,质保：六年或15万公里,环保标准：国VI,0,2
2024年4月,中大型SUV,添越,269.90-411.20万,69.90万,79419,,0,质保：三年不限公里,环保标准：国VI，欧VI,6,11
2024年4月,中大型SUV,奥迪e-tron(进口),66.98-72.98万,32.84万,,4.65分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中大型SUV,宝马iX,74.69-100.99万,30.31万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中大型SUV,宝马X6 M,146.89万,26.99万,47714,,0,质保：三年或10万公里,环保标准：国VI，欧IV，欧V,6,8
2024年4月,中大型SUV,路虎卫士,68.80-171.60万,26.70万,7167,4.49分,0,质保：三年或10万公里,环保标准：国VI，欧III，欧IV,5,9
2024年4月,中大型SUV,奥迪e-tron,54.68-64.88万,25.95万,,4.81分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中大型SUV,Levante,86.68-118.98万,23.89万,211750,4.39分,0,质保：三年不限公里,环保标准：国VI，国V,6,8
2024年4月,中大型SUV,奥迪Q8,78.28-114.68万,23.40万,15591,4.68分,0,质保：三年或10万公里,环保标准：国VI,5,8
2024年4月,中大型SUV,Cayenne,91.30-250.80万,22.92万,321724,4.51分,0,质保：三年或10万公里，2年或不限里程，3年或6万公里，三年不限公里，3年或不限里程,环保标准：国VI，欧V，欧IV，欧4，欧Ⅳ，国4,5,8
2024年4月,中大型SUV,宝马X5 M,143.89-144.89万,22.73万,33788,,0,质保：三年或10万公里,环保标准：欧IV，欧VI，国VI,6,8
2024年4月,中大型SUV,揽胜运动版,96.80-130.80万,21.80万,244091,4.68分,0,质保：三年或10万公里，3年或10万公里,环保标准：欧V，国VI，欧IV,6,9
2024年4月,中大型SUV,揽胜运动版新能源,135.80万,21.70万,,,0,质保：三年或10万公里,环保标准：国VI，欧V,3,8
2024年4月,中大型SUV,大切诺基(进口),52.99-71.49万,19.90万,182151,4.71分,0,质保：三年或8万公里，3年或8万公里,环保标准：国IV(国V)，欧IV，国IV，国VI，国V,6,3
2024年4月,中大型SUV,发现,65.88-89.88万,19.90万,146019,4.32分,0,质保：三年或10万公里,环保标准：欧VI，欧V，国VI，欧IV，国V，欧III,6,10
2024年4月,中大型SUV,宝马X6,79.99-97.59万,19.42万,240103,4.53分,0,质保：三年或10万公里，2年或不限里程，两年不限公里，3年或10万公里，两年或10万公里,环保标准：国IV(国V)，国V，欧IV，欧V，国VI，欧VI,6,9
2024年4月,中大型SUV,奔驰GLE轿跑,79.58-94.78万,19.15万,,,0,质保：三年不限公里,环保标准：国VI,0,8
2024年4月,中大型SUV,奔驰GLE轿跑 AMG,102.88-117.08万,19.06万,,,0,质保：三年不限公里,环保标准：国VI,5,8
2024年4月,中大型SUV,沃尔沃XC90新能源,89.49万,16.00万,,,0,质保：三年不限公里,环保标准：欧V，国VI，国V,3,8
2024年4月,中大型SUV,沃尔沃XC90,63.89-78.19万,16.00万,153703,4.68分,0,质保：三年不限公里，两年或10万公里，2年或10万公里,环保标准：国VI，国V，欧IV，国IV(国V)，欧V/国V，欧V,5,8
2024年4月,中大型SUV,奥迪Q7,63.28-80.48万,15.19万,284163,4.56分,0,质保：三年或10万公里，两年不限公里，2年或不限里程，两年或6万公里,环保标准：国V，国VI，国IV(国V)，欧V，欧IV，国IV，欧III,6,9
2024年4月,中大型SUV,途锐,53.38-79.38万,15.10万,305593,4.64分,0,质保：两年不限公里，三年或10万公里，4年或8万公里,环保标准：欧IV，国VI，国IV，欧V，国V,5,1
2024年4月,中大型SUV,添越插电混动,257.60-297.50万,14.90万,,,0,质保：三年不限公里,环保标准：国VI,0,8
2024年4月,中大型SUV,奔驰GLE轿跑新能源,82.08-84.60万,14.81万,,,0,质保：三年不限公里,环保标准：国VI,2,8
2024年4月,中大型SUV,奥迪RS Q8,146.88万,14.59万,,,0,质保：三年或10万公里,环保标准：国VI,6,12
2024年4月,中大型SUV,奔驰GLE AMG,102.38-162.68万,12.90万,26505,,0,质保：三年不限公里，3年或不限里程,环保标准：国VI，欧V,6,8
2024年4月,中大型SUV,奔驰GLE,69.98-91.78万,12.17万,230911,4.37分,0,质保：三年不限公里,环保标准：欧V，国VI，欧V/国V，欧IV,5,9
2024年4月,中大型SUV,途锐新能源,67.98万,10.90万,,,0,质保：三年或10万公里,环保标准：国VI,3,12
2024年4月,中大型SUV,英菲尼迪QX60,37.88-61.98万,10.00万,,4.8分,0,质保：四年或10万公里,环保标准：国VI,0,8
2024年4月,中大型SUV,奔驰G级AMG,254.70-292.00万,9.90万,157320,3.83分,0,质保：三年不限公里，两年不限公里,环保标准：欧V，国VI，欧IV,6,8
2024年4月,中大型SUV,奔驰GLE新能源,81.69-82.88万,9.90万,,,0,质保：三年不限公里,环保标准：国VI，欧V,2,8
2024年4月,中大型SUV,马自达CX-8,25.88-33.08万,9.16万,,4.8分,0,质保：五年或15万公里,环保标准：国VI,5,2
2024年4月,中大型SUV,ID.6 X,25.99-32.94万,8.55万,,4.73分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中大型SUV,昂科旗,29.99-35.99万,8.40万,,4.8分,0,质保：三年或10万公里,环保标准：国VI,5,8
2024年4月,中大型SUV,途昂X,26.90-39.50万,8.30万,,4.71分,0,质保：三年或10万公里,环保标准：国VI,5,8
2024年4月,中大型SUV,凯迪拉克XT6,41.27-55.27万,8.00万,,4.67分,0,质保：三年不限公里,环保标准：国VI,5,8
2024年4月,中大型SUV,途昂,24.90-40.50万,7.80万,838804,4.65分,0,质保：三年或10万公里,环保标准：国VI，国V,5,8
2024年4月,中大型SUV,宝马X5,61.20-80.00万,7.10万,,4.63分,0,质保：三年或10万公里,环保标准：国VI,0,8
2024年4月,中大型SUV,飞凡R7,27.99-38.99万,6.90万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中大型SUV,揽境,29.99-39.99万,6.90万,,4.68分,0,质保：三年或10万公里,环保标准：国VI,5,8
2024年4月,中大型SUV,揽巡,27.49-32.59万,6.90万,,,0,质保：三年或10万公里,环保标准：国VI,0,8
2024年4月,中大型SUV,ID.6 CROZZ,25.89-33.69万,6.60万,,4.67分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中大型SUV,开拓者,19.49-32.99万,6.50万,,4.76分,0,质保：三年或10万公里,环保标准：国VI,5,8
2024年4月,中大型SUV,Cayenne新能源,87.80-199.80万,6.40万,,4.41分,0,质保：三年或10万公里,环保标准：国VI，欧V，国V,3,8
2024年4月,中大型SUV,奔驰G级,142.48-254.00万,5.90万,173547,,0,质保：三年不限公里，两年不限公里,环保标准：欧IV，欧VI，国VI，欧V,6,9
2024年4月,中大型SUV,雷克萨斯RX,40.50-80.10万,5.90万,,4.52分,0,质保：四年或10万公里，六年或15万公里,环保标准：国VI，国V,5,8
2024年4月,中大型SUV,奥迪Q6,46.76-63.06万,5.75万,,,0,质保：三年或10万公里,环保标准：国VI,0,8
2024年4月,中大型SUV,揽胜,142.80-335.80万,4.30万,340774,4.39分,0,质保：三年或10万公里，3年或10万公里，3年或6万公里，待查,环保标准：欧V，国VI，欧IV,6,9
2024年4月,中大型SUV,领克09新能源,28.99-36.29万,2.90万,,4.73分,0,质保：五年或10万公里，四年或10万公里,环保标准：国VI,0,8
2024年4月,中大型SUV,领克09,25.79-27.79万,2.70万,,4.66分,0,质保：五年或10万公里,环保标准：国VI,0,8
2024年4月,中大型SUV,奥迪Q5 e-tron,29.85-43.55万,2.70万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中大型SUV,飞行家,50.08-76.38万,2.40万,,4.68分,0,质保：五年或14万公里,环保标准：国VI,5,2
2024年4月,中大型SUV,北京BJ80,29.49-39.80万,2.20万,225163,,0,质保：三年或6万公里,环保标准：国V，国VI，国IV,6,9
2024年4月,中大型SUV,奔腾T99,13.49-18.69万,2.20万,,4.75分,0,质保：三年或10万公里,环保标准：国VI,5,8
2024年4月,中大型SUV,领裕,17.38-22.18万,2.10万,,4.76分,0,质保：三年或10万公里,环保标准：国VI,5,2
2024年4月,中大型SUV,荣威RX8,16.88-22.88万,1.90万,,4.76分,0,质保：三年或10万公里,环保标准：国V，国VI,5,2
2024年4月,中大型SUV,IQ锐歌,29.77-41.97万,1.71万,,4.87分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中大型SUV,路虎卫士新能源,81.80万,1.66万,,,0,质保：三年或10万公里,环保标准：国VI,3,8
2024年4月,中大型SUV,长安CS95,17.59-19.99万,1.24万,555349,4.71分,0,质保：三年或10万公里,环保标准：国VI，国V,5,2
2024年4月,中大型SUV,帕拉索,13.88-20.28万,0.95万,,,0,质保：三年或10万公里,环保标准：国VI,5,2
2024年4月,中大型SUV,红旗HS7,25.58-33.58万,0.95万,,4.66分,0,质保：四年或10万公里,环保标准：国VI,6,8
2024年4月,中大型SUV,蓝山DHT-PHEV,27.38-30.88万,0.85万,,,0,质保：五年或15万公里,环保标准：国VI,0,2
2024年4月,中大型SUV,腾势N8,31.98-32.68万,0.76万,,,0,质保：六年或15万公里,环保标准：国VI,0,2
2024年4月,中大型SUV,别克E5,16.99-27.89万,0.57万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中大型SUV,哈弗H9,21.48-27.98万,0.50万,376147,4.6分,0,质保：三年或10万公里,环保标准：国V，国VI,6,9
2024年4月,中大型SUV,领地,19.98-27.98万,0.47万,,,0,质保：暂无数据,环保标准：国VI,0,0
2024年4月,中大型SUV,上汽大通MAXUS D90 Pro,17.98-30.98万,0.47万,,4.83分,0,质保：三年或10万公里,环保标准：国VI,5,3
2024年4月,中大型SUV,星途揽月,19.39-23.89万,0.38万,,4.66分,0,质保：五年或10万公里，三年或10万公里,环保标准：国VI,5,10
2024年4月,中大型SUV,域虎9多功能车,16.48-19.28万,0.28万,,,0,质保：三年或10万公里,环保标准：国VI,5,2
2024年4月,全尺寸SUV,宝马X7,103.90-172.90万,31.20万,27577,4.66分,0,质保：三年或10万公里,环保标准：国VI,5,8
2024年4月,全尺寸SUV,奔驰EQS SUV,91.05-110.05万,29.90万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,全尺寸SUV,北京BJ90,47.80-49.80万,14.84万,,,0,质保：待查,环保标准：国V，国VI,6,8
2024年4月,全尺寸SUV,奔驰GLS,109.38-139.70万,12.90万,186945,4.45分,0,质保：三年不限公里,环保标准：国VI，欧V,5,9
2024年4月,全尺寸SUV,宝马XM,146.80-280.00万,11.40万,,,0,质保：三年或10万公里,环保标准：国VI,0,8
2024年4月,全尺寸SUV,红旗E-HS9,50.98-77.98万,9.90万,,4.85分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,全尺寸SUV,迈巴赫GLS,183.30-312.10万,6.92万,,,0,质保：三年不限公里,环保标准：国VI,6,8
2024年4月,全尺寸SUV,途乐,79.80-83.80万,2.00万,233272,,0,质保：两年或6万公里，三年或10万公里，三年或6万公里，2年或6万公里,环保标准：欧III，国V，国VI，欧IV，国IV,6,6
2024年4月,全尺寸SUV,红旗LS7,136.58-146.58万,1.43万,,,0,质保：暂无数据,环保标准：国IV+OBD,0,2
2024年4月,MPV,奥德赛,23.58-43.98万,9.90万,338935,4.4分,0,质保：三年或10万公里，2年或6万公里,环保标准：国IV，国II，国IV(国V)，国VI，国V，欧IV,5,2
2024年4月,MPV,威然,28.98-40.28万,8.00万,,4.73分,0,质保：三年或10万公里,环保标准：国VI,5,8
2024年4月,MPV,途安,16.68-19.58万,6.00万,110153,4.57分,0,质保：三年或10万公里，两年或6万公里，2年或6万公里,环保标准：国V，国III，国IV(国V)，国VI,5,10
2024年4月,MPV,艾力绅,27.98-33.18万,5.40万,251794,4.54分,0,质保：三年或10万公里,环保标准：国VI，国IV(国V)，国V,5,2
2024年4月,MPV,上汽大通MAXUS 大家7,21.98-30.48万,4.00万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,MPV,奔腾NAT,14.78-16.48万,3.90万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,MPV,梦想家,33.99-68.99万,3.90万,,,0,质保：五年或10万公里,环保标准：国VI,0,8
2024年4月,MPV,宋MAX新能源,14.78-17.48万,2.90万,,4.88分,0,质保：六年或15万公里,环保标准：国VI，国V,2,2
2024年4月,MPV,格瑞维亚,29.98-41.68万,2.70万,,,0,质保：四年或10万公里,环保标准：国VI,0,2
2024年4月,MPV,比亚迪D1,16.08-16.98万,2.40万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,MPV,五菱凯捷,8.58-14.98万,2.40万,,4.75分,0,质保：三年或10万公里,环保标准：国VI,5,2
2024年4月,MPV,长安欧尚科尚EV,16.68万,2.40万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,MPV,锐胜王牌M7,5.98-15.68万,2.30万,,,0,质保：三年或6万公里,环保标准：国VI,5,2
2024年4月,MPV,奔腾M9,22.98-24.98万,2.18万,,,0,质保：三年或10万公里,环保标准：国VI,0,8
2024年4月,MPV,别克GL8,23.29-47.39万,2.10万,426894,4.69分,0,质保：三年或10万公里，2年或6万公里，两年或6万公里,环保标准：国IV(国V)，国VI，国V，欧III，国IV+OBD，国III+OBD,5,6
2024年4月,MPV,王牌M7新能源,13.48-18.18万,1.90万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,MPV,风光E380,12.91-16.91万,1.71万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
